Modelo			Descripción 	Categoría 	Función 	Voltaje	Precio Venta USD
S12P-ECV13		Condensadora	Minisplit 12k	Inverter	Solo Frio	110V	$222,00
		Evaporador					
S12P-EHV13		Condensadora	Minisplit 12k	Inverter	Heat Pump	110V	$228,75
		Evaporador					
S12P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$225,00
		Evaporador					
S12P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$229,00
		Evaporador					
S18P-ECV22		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$399,00
		Evaporador					
S18P-EHV22		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$422,00
		Evaporador					
S24P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$493,00
		Evaporador					
S24P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$522,00
		Evaporador					
S36P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$858,00
		Evaporador					
S36P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$930,00
		Evaporador						

Modelo	                              Descripcion	                          PRECIO

(CONDENSADORA MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 1 TR VOLTAJE 220V/1F/60HZ 	
EVAPORADOR MINISPLIT INVERTER  MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 1 TR VOLTAJE 220V/1F/60HZ) VAN JUNTIS		$399,39

(CONDENSADORA MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 2 TR VOLTAJE 220V/1F/60HZ,		
 EVAPORADOR MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 2 TR VOLTAJE 220V/1F/60HZ) VAN JUNTOS	        $787,29					
53LVC121X	MINISPLIT 1 TON SOLO FRIO LIV-X 110/1/60, SEER 12	$209,00
53LVC123X	MINISPLIT 1 TON SOLO FRIO LIV-X 220/1/60, SEER 12	$209,00
53LVC183X	MINISPLIT 1.5 TON SOLO FRIO LIV-X 220/1/60, SEER 12	$392,70
53LVC243X	MINISPLIT 2 TON SOLO FRIO LIV-X 220/1/60, SEER 12	$523,60
		
53LVQ121X	MINISPLIT 1 TON FRIO CALOR LIV-X 110/1/60, SEER 12	$222,20
53LVQ123X	MINISPLIT 1 TON FRIO CALOR LIV-X 220/1/60, SEER 12	$222,20
53LVQ183X	MINISPLIT 1.5 TON FRIO CALOR LIV-X 220/1/60, SEER 12	$405,90
53LVQ243X	MINISPLIT 2 TON FRIO CALOR LIV-X 220/1/60, SEER 12	$536,80
		
53PXC121D	 MINISPLIT 1 TON SOLO FRIO CARRIER PURON X, 110/1/60, SEER 18 WIFI	$312,40
53PXC123D	MINISPLIT 1 TON SOLO FRIO CARRIER PURON X, 220/1/60, SEER 18 WIFI	$312,40
53PXC183D	MINISPLIT 1.5 TON SOLO FRIO CARRIER PURON X, 220/1/60, SEER 18 WIFI	$449,90
53PXQ243D	 MINISPLIT 2 TON SOLO FRIO CARRIER PURON X, 220/1/60, SEER 18 WIFI	$624,80
		
53PXQ121D	MINISPLIT 1 TON FRIO CALOR CARRIER PURON X, 110/1/60, SEER 18 WIFI	$344,30
53PXQ123D	MINISPLIT 1 TON FRIO CALOR CARRIER PURON X, 220/1/60, SEER 18 WIFI	$344,30
53PXQ183D	MINISPLIT 1.5 TON FRIO CALOR CARRIER PURON X, 220/1/60, SEER 18 WIFI	$481,80
53PXQ243D	MINISPLIT 2 TON FRIO CALOR CARRIER PURON X, 220/1/60, SEER 18 WIFI	$656,70
		
53MXC121A	MINISPLIT 1 TON SOLO FRIO CARRIER MAX, 110/1/60, SEER 18	$275,00
53MXC123A	MINISPLIT 1 TON SOLO FRIO CARRIER MAX, 220/1/60, SEER 19	$275,00
53MXC183A	MINISPLIT 1.5 TON SOLO FRIO CARRIER MAX, 220/1/60, SEER 22	$432,30
53MXC243A	MINISPLIT 2 TON SOLO FRIO CARRIER MAX, 220/1/60, SEER 21	$563,20
		
53MXQ121A	MINISPLIT 1 TON FRIO CALOR CARRIER MAX, 110/1/60, SEER 18	$288,20
53MXQ123A	 MINISPLIT 1 TON FRIO CALOR CARRIER MAX, 220/1/60, SEER 19	$288,20
53MXQ183A	MINISPLIT 1.5 TON FRIO CALOR CARRIER MAX, 220/1/60, SEER 22	$445,50
53MXQ243A	 MINISPLIT 2 TON FRIO CALOR CARRIER MAX, 220/1/60, SEER 21	$576,40
		
53UTQ121D	MINISPLIT 1 TON FRIO CALOR CARRIER ULTRA, 110/1/60, SEER 21 WIFI	$500,50
53UTQ123D	MINISPLIT 1 TON FRIO CALOR CARRIER ULTRA, 220/1/60, SEER 21 WIFI	$500,50
53UTQ183D	 MINISPLIT 1.5 TON FRIO CALOR CARRIER ULTRA, 220/1/60, SEER 21 WIFI	$687,50
53UTQ243D	MINISPLIT 2 TON FRIO CALOR CARRIER ULTRA, 220/1/60, SEER 21 WIFI	$812,90
		
53AEQ363A	 MINISPLIT 3 TON FRIO CALOR CARRIER COOL EASY, 220/1/60, SEER 17 WIFI	$1.437,70

38LVMB18A32-C	Condensadora 1.5 ton R32 HP xpower 220/1/60	$733,70
38LVMB27A32-C	Condensadora 2.25 ton R32 HP xpower 220/1/60	$864,60
38LVMB36A32-C	Condensadora 3 ton R32 HP xpower 220/1/60	$1.388,20
38LVMB42A32-C	Condensadora 3.5 ton R32 HP xpower 220/1/60	$1.650,00
42QHG009A32-E	Evaporador high wall 0.75 ton R32 xpower 220/1/60	$156,20
42QHG012A32-E	Evaporador high wall 1 ton R32 xpower 220/1/60	$169,40
42QHG018A32-E	Evaporador high wall 1.5 ton R32 xpower 220/1/60 	$207,90
42QHG024A32-E	Evaporador high wall 2 ton R32 xpower 220/1/60 	$260,70
42QSS012A32-E	Evaporador inverter fan coil R32 HP de 1 ton 220/1/60	$325,60
42QSS018A32-E	 Evaporador inverter fan coil R32 HP de 1.5 ton 220/1/60	$418,00
42QSS024A32-E	Evaporador inverter fan coil R32 HP de 2 ton 220/1/60	$456,50
		
38INQ183A32-C	Condensadora inverter easy match 1.5 ton R32 voltaje 220/1/60	$655,60
42QSS018A32-E	Fan coil inverter 1.5 ton R32 voltaje 220/1/60	$353,10
38INQ243A32-C	Condensadora inverter easy match 2 ton R32voltaje 220/1/60	$731,50
42QSS024A32-E	Fan coil inverter 2 ton R32 voltaje 220/1/60	$394,90
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40EIQ363A32-E	Fan coil inverter easy match 3 ton R32 voltaje2 220/1/60	$515,90
38INQ603A32-C	Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40EIQ603A32-E	Fan coil inverter easy match 5 ton R32 voltaje 220/1/60	$764,50
		
38INQ183A32-C	Condensadora inverter easy match 1.5 ton R32 voltaje 220/1/60	$655,60
42QTD018A32	Cassette inverter easy match 1.5 ton R32 voltaje 220/1/60	$301,40
40CAS-S5	Panel Cassette	$51,70
38INQ243A32-C	Condensadora inverter easy match 2 ton R32voltaje 220/1/60	$731,50
42QTD024A32	Cassette inverter easy match 2 ton R32 voltaje 220/1/60	$330,00
40CAS-L6	Panel Cassette	$64,90
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40KIQ363A32-E	Cassette inverter easy match 3 ton R32 voltaje 220/1/60	$567,60
40CAS-L6	Panel Cassette	$64,90
38INQ603A32-C	 Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40KIQ603A32-E	Cassette inverter easy match 5 ton R32 voltaje 220/1/60	$816,20
40CAS-L6	Panel Cassette	$64,90
		
38INQ363A32-C	Condensadora inverter easy match 3 ton R32 voltaje 220/1/60	$959,20
40VIQ363A32-E	Piso techo inverter esay match 3 ton R32 voltaje 220/1/60	$515,90
38INQ603A32-C	Condensadora inverter easy match 5 ton R32 voltaje 220/1/60	$1.422,30
40VIQ603A32-E	Piso techo inverter esay match 5 ton R32 voltaje 220/1/60	$764,50
		
53VSQ180363GA-FC	Sist F&C inverter 36k HP marca CIAC 220/1/60 R410a	$1.423,40
53VSQ180603GA-FC	Sist F&C inverter 60k HP marca CIAC 220/1/60 R410a	$2.006,40
		
53VSQ180363GA-PT	Sist Piso Techo inverter 36k HP marca CIAC 220/1/60 R410a	$1.423,40
53VSQ180603GA-PT	Sist Piso Techo inverter 60k HP marca CIAC 220/1/60 R410a	$2.006,40
		
53VSQ180363GA-KC	Sist Cassette inverter 36k HP marca CIAC 220/1/60 R410a	$1.553,20
53VSQ180603GA-KC	Sist Cassette inverter 60k HP marca CIAC 220/1/60 R410a	$2.135,10
		
53VSQ180363GA-AH	Sist Dividido Manejadora inverter 36k HP marca CIAC 220/1/60 R410a	$1.941,50
